Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Agneta,Bengtsson,Furugatan 49,Sandviken,43974,Sverige,SE,19820825-7663,+46,08-672 279 38,1982-08-25,True
Robert,Johansson,Idrottsvägen 45,Stockholm,79749,Sverige,SE,19510613-2746,+46,08-23 85 93,1951-06-13,True
Marie,Abdullah,Stationstorget 08,Södertälje,77331,Sverige,SE,19971202-4543,+46,08-925 003 44,1997-12-02,True
Victoria,Lindquist,Ekgatan 480,Landskrona,51405,Sverige,SE,19631120-9979,46,+46 (0)8 238 518 77,1963-11-20,True
Magnus,Sjöberg,Gengatan 6,Östersund,24961,Sverige,SE,19560726-9233,+46,+46 (0)8 094 564 01,1956-07-26,True
Eva,Ødegård,Jacobsentunet 110,Bjørghavn,0844,Norge,NO,19561120-3868,+47,92859034,1956-11-20,True
Rebecca,Jimenez,Griffin Ville 516,Garyburgh,26962,Danmark,DK,19680610-0345,+45,859-413-9944x8787,1968-06-10,True
Katie,Morris,Hudson Creek 6580,Orozcoburgh,22403,Danmark,DK,19440226-4437,+45,794-552-5629x56820,1944-02-26,True
Ted,Lundgren,Ekvägen 4,Alingsås,48354,Sverige,SE,19690420-4351,+46,039-83 44 07,1969-04-20,True
Viola,Berg,Kvarngatan 70,Ängelholm,80644,Sverige,SE,19850505-0874,+46,08-129 305 25,1985-05-05,True
Edvin,Berggren,Stationsstigen 47,Skellefteå,48681,Sverige,SE,19720213-1470,+46,0430-20 04 39,1972-02-13,True
Ida,Kristiansen,Kristensenhøgda 84,Sveineid,0430,Norge,NO,19531119-6268,+47,+47 02 03 12 29,1953-11-19,True
Sandra,Antonsson,Villavägen 750,Örnsköldsvik,43159,Sverige,SE,19800603-7649,+46,0539-562 18,1980-06-03,True
Joanna,Kelly,Kevin Ford 720,New Kimberly,81540,Danmark,DK,19580420-8088,+45,+1-784-425-5682x642,1958-04-20,True
Kathryn,Shea,Kirk Valley 1330,New Michael,37659,Danmark,DK,19550221-5472,+45,001-439-371-2723,1955-02-21,True
Christina,Håkansson,Kvarntorget 034,Göteborg,80155,Sverige,SE,19471010-9967,+46,078-62 48 48,1947-10-10,True
Berit,Halvorsen,Rasmussenflata 6,Andreaøy,2721,Norge,NO,19600828-7515,+47,38 57 22 18,1960-08-28,True
Marie,Fredriksson,Kyrkvägen 95,Östersund,82136,Sverige,SE,19740425-6813,+46,08-772 09 77,1974-04-25,False
Jane,Landin,Skolgatan 178,Luleå,20773,Sverige,SE,19740904-4935,+46,08-182 846 71,1974-09-04,True
Heléne,Lindh,Kyrkovägen 111,Landskrona,76067,Sverige,SE,19520802-3535,+46,+46 (0)8 151 559 36,1952-08-02,True
Nora,Eliassen,Nguyenroa 9,Kristoffervåg,2787,Norge,NO,19470103-9256,+47,996 16 091,1947-01-03,False
Justin,Walker,Gabrielle Extensions 2271,Cuevasburgh,24723,Danmark,DK,19420905-7283,+45,958-526-0507x410,1942-09-05,True
Andreas,Tangen,Andresenåsen 40,Kristinefjell,2783,Norge,NO,19750609-5678,+47,948 50 151,1975-06-09,True
Tore,Martinsen,Rasmussenlyngen 7,Evensen,0852,Norge,NO,19720821-7468,+47,42527511,1972-08-21,True
Jonas,Tangen,Isaksenskrenten 58,Geirhavn,0674,Norge,NO,19880529-9865,+47,22129520,1988-05-29,True
Sissel,Antonsen,Haugevollen 4H,Sigurdvær,8503,Norge,NO,19491202-8531,+47,94 80 23 29,1949-12-02,False
Kari,Berge,Knudsenmyra 46A,Ritadal,2198,Norge,NO,19480410-3429,+47,96300431,1948-04-10,True
Lena,Lindberg,Järnvägsstigen 80,Växjö,10612,Sverige,SE,19660518-5606,+46,+46 (0)74 93 10 08,1966-05-18,True
Elsy,Lindblom,Industrivägen 628,Sandviken,84937,Sverige,SE,19601028-4076,+46,+46 (0)8 144 156 15,1960-10-28,True
Louise,Olsson,Furugatan 9,Gävle,44684,Sverige,SE,19770504-7360,+46,+46 (0)751 691 12,1977-05-04,True
Kjell,Nguyen,Tangengrenda 41,Mortenfjord,6437,Norge,NO,19460105-5873,+47,63075734,1946-01-05,True
Ruth,Eriksson,Storstigen 12,Jönköping,94159,Sverige,SE,19610721-6116,+46,025-991 37 69,1961-07-21,True
Cathrine,Aasen,Haugstykket 9,Rønning,0298,Norge,NO,20000605-5106,+47,+47 99 01 91 21,2000-06-05,True
Tapani,Mäkinen,Niemikatu 04,Halsua,27366,Finland,FI,19791127-634B,+358,+358899296669,1979-11-27,True
Marcus,Watkins,Mathews Village 9822,Nataliemouth,27464,Danmark,DK,19550923-3887,+45,001-616-882-0834x6171,1955-09-23,True
Alf,Jakobsen,Sørensenhavna 28,Myklebust,1743,Norge,NO,19901215-8593,+47,+47 60 85 63 61,1990-12-15,True
Kerstin,Nordström,Grangatan 2,Borås,36375,Sverige,SE,19410501-3886,+46,+46 (0)693 619 56,1941-05-01,True
Mats,Israelsson,Industristigen 1,Sundsvall,61628,Sverige,SE,19950527-2708,+46,081-14 53 73,1995-05-27,True
Hannu,Kangas,Orapihlajapolku 52,Kemiönsaari,46824,Finland,FI,19730613-522W,+358,+358 94 4834938,1973-06-13,True
Alexander,Jansson,Villavägen 59,Trelleborg,24030,Sverige,SE,19540417-1101,+46,08-45 64 92,1954-04-17,True
Anette,Ekholm,Aspvägen 6,Kristianstad,80871,Sverige,SE,19931126-5753,+46,0343-077 36,1993-11-26,True
Marco,Olofsson,Kyrkotorget 2,Jönköping,52111,Sverige,SE,19600815-1951,+358,+46 (0)8 786 413 95,1960-08-15,True
Thor,Bakken,Nygårdåsen 3,Magnesand,3601,Norge,NO,19510309-4805,+47,94195576,1951-03-09,True
Margaret,Perry,Cook Course 2648,Greenshire,41948,Danmark,DK,19940515-7390,+45,994.502.7122x827,1994-05-15,True
Agneta,Andersson,Storvägen 955,Kalmar,97779,Sverige,SE,19891111-3421,+46,08-15 30 58,1989-11-11,True
Bjørn,Hagen,Sørensenhagen 4,Oleås,5111,Norge,NO,19831225-9325,+47,46576370,1983-12-25,True
John,Ray,Bautista Crest 540,North Taylor,47928,Danmark,DK,19761021-7968,+45,692-859-8288x510,1976-10-21,True
Lucas,Eriksson,Kyrkvägen 62,Varberg,51325,Sverige,SE,19590523-7613,+46,003-80 68 43,1959-05-23,True
Melinda,Brooks,Savannah Tunnel 053,East Gregory,66166,Danmark,DK,19651011-8668,+45,+1-416-778-6227x20841,1965-10-11,True
Karin,Andersson,Ekvägen 83,Östersund,38782,Sverige,SE,19561228-4726,+46,08-346 02 66,1956-12-28,True
Gregory,Barnett,Rivera Harbors 1385,Douglasland,20957,Danmark,DK,19420413-9704,+45,439.439.4165x5976,1942-04-13,True
Caitlin,Myers,Kelsey Crossing 3403,Jacobchester,84315,Danmark,DK,19880609-7497,+45,+1-602-563-6384x5052,1988-06-09,True
Kathy,Orr,Smith Mill 411,Joneschester,41295,Danmark,DK,19740526-8454,+45,(819)513-4281,1974-05-26,True
Magnus,Mikkelsen,Mathisenstubben 83,Helland,3961,Norge,NO,19560407-4938,+47,458 48 671,1956-04-07,True
Katarina,Rosén,Grangränd 5,Örebro,14204,Sverige,SE,19650703-3457,+46,0192-40 29 46,1965-07-03,True
Ingeborg,Svendsen,Kristensenplassen 5,Olefoss,3073,Norge,NO,19710817-8494,+47,24861981,1971-08-17,True
Robert,Soto,Tiffany Course 78220,Port Paulastad,54514,Danmark,DK,19490416-5041,+45,342-534-9860,1949-04-16,True
Henrik,Arnesen,Moetunet 6,Cathrineeid,1412,Norge,NO,19640125-0126,+47,426 46 682,1964-01-25,True
Mari,Johansen,Hagenmarka 86B,Lunde,7745,Norge,NO,19940707-0628,+47,946 57 319,1994-07-07,True
Elisabet,Jacobsson,Bäckstigen 5,Gävle,91662,Sverige,SE,19710614-2258,+46,076-01 38 57,1971-06-14,True
Magne,Svendsen,Aasstykket 67,Janstrand,5180,Norge,NO,19821126-6539,+47,+4706824966,1982-11-26,True
Sigurd,Gunnarsson,Kyrkogatan 4,Östersund,24331,Sverige,SE,19560711-1873,+46,08-756 577 61,1956-07-11,True
Richard,Ahlqvist,Aspvägen 036,Växjö,81929,Sverige,SE,19690301-9920,+46,+46 (0)109 234 00,1969-03-01,True
Sven,Olsson,Skogstorget 01,Gävle,58223,Sverige,SE,19520806-0045,+46,+46 (0)576 928 91,1952-08-06,True
Magne,Lien,Bøetoppen 4D,Pettersen,6375,Norge,NO,19670623-4059,+47,15225457,1967-06-23,True
Marie,Nilsson,Skogsvägen 081,Skellefteå,71873,Sverige,SE,19801210-7793,+46,08-44 16 59,1980-12-10,True
Oskar,Virtanen,Damaskuksenkuja 98,Vaala,28440,Finland,FI,19400314-5083,+358,058 581 4953,1940-03-14,True
Francis,Rodriguez,Elizabeth Village 5100,Glendaberg,48790,Danmark,DK,19570720-6750,+45,776-682-0354x019,1957-07-20,True
Leon,Söderman,Trädgårdsgatan 5,Nyköping,34799,Sverige,SE,19980412-8952,+46,08-305 94 86,1998-04-12,True
Andreas,Johansson,Fabriksvägen 727,Umeå,31171,Sverige,SE,19630218-1187,+46,0745-495 24,1963-02-18,True
Astrid,Solberg,Jensenengen 1,Karlsen,4355,Norge,NO,19500914-1164,+47,45399393,1950-09-14,True
Jon,Knutsen,Eliassenstranda 6,Noraby,1219,Norge,NO,19820814-2343,+47,+4768886447,1982-08-14,True
Erik,Karlsson,Industrigränd 375,Skövde,84864,Sverige,SE,19490510-6317,+46,+46 (0)525 945 12,1949-05-10,True
Amber,Young,Allen Ridge 06418,Jenniferton,46791,Danmark,DK,19430517-3985,+45,+1-509-882-0146x462,1943-05-17,True
Yvonne,Sundström,Aspvägen 288,Växjö,15824,Sverige,SE,19480203-6736,+46,08-615 07 80,1948-02-03,True
Siri,Kristensen,Sandvikmarka 7,Jensen,4482,Norge,NO,19451119-6980,+47,97597188,1945-11-19,True
Felix,Sjöberg,Trädgårdsvägen 65,Örebro,38567,Sverige,SE,19620724-5897,+46,08-369 03 16,1962-07-24,True
Richard,Novak,Daniel Mountain 759,Kariburgh,68527,Danmark,DK,19681210-3422,+45,844.202.2630,1968-12-10,True
Tommy,Nilsen,Amundsenlunden 5,Andersen,0544,Norge,NO,19600918-4426,+47,+4779834953,1960-09-18,True
Cecilie,Antonsen,Mathisenskrenten 8,Theastrand,2274,Norge,NO,19850330-5613,+47,962 85 986,1985-03-30,True
Lea,Nilsson,Granstigen 1,Varberg,85435,Sverige,SE,19530807-5590,+46,055-428 57 78,1953-08-07,True
Catarina,Andersson,Bäckgatan 873,Kalmar,99733,Sverige,SE,19880711-0573,+46,+46 (0)92 76 96 09,1988-07-11,True
Karen,Singh,Andrea Vista 95776,Taylorport,45651,Danmark,DK,19600423-0488,+45,699-542-0960x93256,1960-04-23,True
Jørgen,Eriksen,Moevika 4,Jannes,5890,Norge,NO,19430821-8051,+47,+47 67 98 37 81,1943-08-21,True
Johannes,Simonsen,Mathisenalléen 96,Greteøy,4049,Norge,NO,19420804-2367,+47,42498303,1942-08-04,True
Gerd,Evensen,Sivertsenroa 86D,Oledal,2662,Norge,NO,19651016-9047,+47,70818839,1965-10-16,True
John,Weeks,Brewer Burgs 6808,Johnsonland,71833,Danmark,DK,19990718-2423,+45,001-493-633-1282,1999-07-18,True
Jørgen,Nielsen,Ellingsenstykket 93,Antonsen,6197,Norge,NO,19681201-5881,+47,+4738734248,1968-12-01,True
Miranda,Hoffman,Patrick Lodge 0506,New Scottfort,18050,Dmnmark,DK,19681203-2061,+45,820.238.5651,1968-12-03,True
Niclas,Nordgren,Backgatan 049,Karlskrona,73278,Sverige,SE,19581103-9269,+46,+46 (0)23 55 61 77,1958-11-03,True
Anna,Persson,Björkgränd 71,Borlänge,97810,Sverige,SE,19490924-2913,+46,+46 (0)8 001 111 22,1949-09-24,False
Kaarina,Turunen,Elontie 8,Taipalsaari,24915,Finland,FI,19510414-6395,+358,0896205308,1951-04-14,True
Erin,Sanders,Perez Burgs 684,Bakershire,78474,Danmark,DK,19880408-0602,+45,460.737.4251x9175,1988-04-08,False
Joseph,Watson,Ariel Route 01460,Andrewport,44417,Danmark,DK,19950619-9904,+45,+1-404-666-3377,1995-06-19,True
Sander,Rønning,Paulsenvika 9,Leifgrunn,2074,Norgg,NO,19670901-0158,+47,+4717989089,1967-09-01,True
Viktoria,Skog,Idrottsstigen 4,Motala,70975,Sverige,SE,19860528-7857,+46,08-908 488 23,1986-05-28,True
Johanna,Larsson,Stationsstigen 35,Borlänge,85251,Sverige,SE,19840329-0116,+46,0776-873 54,1984-03-29,True
Ingemar,Ahmed,Ektorget 24,Linköping,93352,Sverige,SE,19621128-3161,+46,+46 (0)8 317 303 32,1962-11-28,True
Eva-Lena,Westman,Ringgatan 2,Kalmar,67170,Sverige,SE,19980326-7458,+46,0447-77 63 51,1998-03-26,True
Alicia,Gibson,Shirley Bypass 2799,North Jonathan,81925,Danmark,DK,19421020-4105,+45,+1-533-891-1995x3245,1942-10-20,True
Karl,Nilsson,Furuvägen 1,Uddevalla,52974,Sverige,SE,19420517-3238,+46,094-33 89 91,1942-05-17,True
Marika,Partanen,Runonlaulajantie 5,Liminka,99486,Finland,FI,19880618-8649,+358,072 454 0472,1988-06-18,True
Tapio,Turunen,Elonpolku 2,Siuntio,03274,Finland,FI,19431022-2091,+358,0738383632,1943-10-22,True
Albert,Lundström,Industrigatan 47,Trelleborg,49555,Sverige,SE,19440617-9118,+46,08-55 23 32,1944-06-17,True
Felicia,Jansson,Kyrkogatan 13,Umeå,89204,Sverige,SE,19891001-4701,+46,0536-71 93 49,1989-10-01,True
Per,Gustafsson,Ringstigen 5,Halmstad,20933,Sverige,SE,19770814-2866,+46,08-606 94 26,1977-08-14,True
Anita,Berge,Engenløkka 19,Abrahamsen,1568,Norge,NO,19440123-0622,+47,98 56 58 32,1944-01-23,True
Ragnhild,Sivertsen,Iversengjerdet 62,Edvardsen,7363,Norge,NO,19870216-0588,47,83 90 84 79,1987-02-16,True
Viktoria,Ibrahim,Aspstigen 2,Karlskoga,36368,Sverige,SE,19740826-9592,+46,08-19 48 89,1974-08-26,True
Phyllis,Grant,Ray Skyway 32895,Cookside,95008,Danmark,DK,19860502-0741,+45,590.878.9660x42500,1986-05-02,True
Peter,Nylander,Storgränd 04,Skövde,12288,Sverige,SE,19890811-7602,+46,+46 (0)416 633 84,1989-08-11,True
Sofia,Johansson,Idrottsvägen 8,Stockholm,10940,Sverige,SE,19820807-2997,+46,0255-92 90 77,1982-08-07,True
Mirja,Mikkonen,Caloniuksentie 2,Janakkala,22569,Finland,FI,19840728-5268,+358,+358 66 9528267,1984-07-28,True
Malte,Nygren,Gengatan 546,Uppsala,97429,Sverige,SE,19470620-4620,+46,08-448 03 27,1947-06-20,True
Tilda,Johansson,Fabriksvägen 815,Gävle,12008,Sverige,SE,19570927-1930,+46,08-487 937 36,1957-09-27,True
Holger,Magnusson,Villagatan 069,Kristianstad,61053,Sverige,SE,19841006-8738,+46,063-860 16 11,1984-10-06,True
Camilla,Holm,Mathisenvollen 8,Karlsen,9203,Norge,NO,19430606-4922,+47,96290678,1943-06-06,True
Lennart,Forsberg,Järnvägsvägen 24,Borlänge,24856,Sverige,SE,19840218-8100,+46,08-17 24 10,1984-02-18,True
Emil,Nilsson,Stationsstigen 5,Borlänge,37616,Sverige,SE,19780927-3319,+46,+46 (0)637 018 82,1978-09-27,True
Ronny,Mattsson,Björkgatan 7,Karlskoga,73176,Sverige,SE,19850804-5116,+46,0415-05 71 17,1985-08-04,True
Lars,Andersson,Ängsvägen 89,Umeå,20488,Sverige,SE,19770728-1271,+46,+46 (0)60 00 41 02,1977-07-28,True
Lars,Olsson,Idrottsstigen 2,Trelleborg,56512,Sverige,SE,19981008-4824,+46,0149-98 40 92,1998-10-08,True
Karin,Flink,Storgatan 501,Göteborg,28125,Sverige,SE,19540309-4830,+46,+46 (0)095 585 13,1954-03-09,True
Eleonora,Arvidsson,Skolvägen 444,Östersund,51746,Sverige,SE,19980208-8478,+46,+46 (0)8 989 824 35,1998-02-08,True
Reino,Seppälä,Maasalonbulevardi 65,Laukaa,21494,Finland,FI,19650130-440X,+358,+358086344297,1965-01-30,True
Anette,Åberg,Skolvägen 694,Sundsvall,64788,Sverige,SE,19620809-5439,+46,0975-73 94 93,1962-08-09,True
Elias,Holm,Hankasuonpolku 99,Savukoski,05758,Finland,FI,19941118-380B,+358,+358 51 1322114,1994-11-18,True
Olov,Persson,Grangatan 713,Sundsvall,53072,Sverige,SE,19960819-0291,+46,0703-771 59,1996-08-19,True
Carl,Lindqvist,Parkstigen 1,Borlänge,65355,Sderige,SE,19510401-8707,+46,08-266 228 64,1951-04-01,True
Cecilie,Paulsen,Bergeringen 77,Thomasstad,3554,Norge,NO,19921129-6125,+47,+47 17 84 28 25,1992-11-29,True
Håkon,Iversen,Andersenvika 5,Hansen,3505,Norge,NO,20000429-9073,+47,27 42 33 11,2000-04-29,True
Thor,Kristoffersen,Johannessenspranget 83E,Lailafoss,6311,Norge,NO,19430106-5468,+47,+47 98 06 26 04,1943-01-06,True
Fred,Page,Carson Place 524,Michaelview,44466,Danmark,DK,19700417-7667,+45,277.584.2564x72384,1970-04-17,True
Gerd,Lönn,Fabriksgatan 65,Borlänge,40960,Sverige,SE,19971122-1845,+46,0126-998 94,1997-11-22,True
Jenni,Hämäläinen,Yrttimaantie 6,Lestijärvi,01335,Finland,FI,19610408-758W,+358,+358678884398,1961-04-08,True
Carlos,Davis,Reginald Flats 31711,Ruiztown,99707,Danmark,DK,19920420-6070,+45,700-727-9629x28989,1992-04-20,True
Joshua,Rogers,Kevin Glens 813,North Danielside,22312,Danmark,DK,19750306-3768,+45,8467751206,1975-03-06,True
Chad,Jones,Larsen Glen 5445,Andersonstad,19483,Danmark,DK,19661102-7874,+45,378-967-9920x9860,1966-11-02,True
Klara,Falk,Villagatan 4,Borås,27594,Sverige,SE,19460321-8009,+46,08-58 27 74,1946-03-21,True
Moa,Bergman,Nyvägen 95,Helsingborg,29386,Sverige,SE,19630905-2326,+46,08-156 707 19,1963-09-05,True
Nils,Salomonsson,Parkvägen 00,Karlstad,96047,Sverige,SE,19510910-1467,+46,0138-040 56,1951-09-10,True
Lauri,Leppänen,Mamsellimyllynkatu 524,Jämijärvi,25866,Finland,FI,19401204-614N,+358,0516020189,1940-12-04,True
Maria,Eriksson,Furugatan 335,Halmstad,53798,Sverige,SE,19700105-3547,+46,+46 (0)583 695 74,1970-01-05,True
Juha,Ollila,Gustav Pauligin polku 53,Sottunga,33479,Finland,FI,19890505-732V,+358,+358796130644,1989-05-05,True
Anna,Aasen,Eidespranget 5,Påldal,7147,Norge,NO,19710220-4990,+47,45 38 12 44,1971-02-20,True
Grete,Abrahamsen,Jensenstien 6,Haugland,7386,Norge,NO,19900908-8908,+47,43440761,1990-09-08,True
Emil,Göransson,Åkertorget 358,Kristianstad,68266,Sverige,SE,19920419-3253,+46,08-77 50 67,1992-04-19,True
Brandon,Edwards,Maxwell Course 318,Gainestown,57442,Danmark,DK,19820222-8516,+45,796-405-7332,1982-02-22,True
Cathrine,Ruud,Tangenflata 37,Norafjell,7798,Norge,NO,19720216-4254,+47,464 99 247,1972-02-16,True
Noel,Lundqvist,Idrottsgränd 4,Växjö,70237,Sverige,SE,20000404-4337,+46,076-660 09 88,2000-04-04,True
Hugo,Ferm,Ekstigen 674,Umeå,44243,Sverige,SE,19510126-8171,+46,+46 (0)08 85 66 72,1951-01-26,True
Jenny,Forsberg,Furugatan 37,Landskrona,11426,Sverige,SE,19530922-1769,+46,098-153 71 46,1953-09-22,True
Emanuel,Nordlund,Storgatan 963,Trollhättan,59524,Sverige,SE,19840229-9129,+46,089-34 97 23,1984-02-29,True
Wenche,Olsen,Gulbrandsenbråten 19B,Synnøvesand,5853,Norge,NO,19771207-0545,+47,92187870,1977-12-07,True
Tyler,White,Soto Plain 10611,Silvaport,27264,Danmark,DK,19410410-9095,+45,(659)924-5030,1941-04-10,True
Jennifer,Burton,Tommy Lodge 98435,Vazquezhaven,65537,Danmark,DK,19991024-6067,+45,849.998.5600x4481,1999-10-24,True
Sara,Holmberg,Järnvägsgränd 25,Lidingö,97202,Sverige,SE,19930302-0755,+46,+46 (0)981 595 37,1993-03-02,True
Martin,Karlström,Ringvägen 34,Lidingö,80179,Sverige,SE,19440202-6376,+46,08-074 547 63,1944-02-02,True
Anita,Sandberg,Ringtorget 264,Kalmar,84214,Sverige,SE,19651026-6236,+46,08-154 24 78,1965-10-26,True
Ulf,Nilsson,Parkvägen 79,Växjö,83294,Sverige,SE,19430721-6142,+46,0521-52 33 70,1943-07-21,True
Ashley,Kane,Nelson Plaza 904,New Chrisland,49147,Danmark,DK,19670601-0848,+45,582.435.0577,1967-06-01,True
Pentti,Huotari,Agnes Sjöbergin tie 1,Polvijärvi,24559,Finland,FI,19730706-823T,+358,(+358) 573640545,1973-07-06,True
Michelle,Burgess,David Viaduct 130,Taylorville,74946,Danmark,DK,19500511-8107,+45,(410)492-3510x015,1950-05-11,True
Eva,Hansson,Kyrkostigen 0,Ängelholm,50210,Sverige,SE,19980620-5613,+46,0137-42 67 00,1998-06-20,True
Sondre,Olsen,Holmmoen 9,Vidarhavn,7283,Norge,NO,19540521-4823,+47,76 68 63 67,1954-05-21,True
Ola,Nygård,Aasenholtet 3F,Ruud,5813,Norge,NO,19640306-8908,+47,19363711,1964-03-06,True
Clifford,Simmons,Dustin Shoals 531,East Katherine,60420,Danmark,DK,19680324-3533,+45,933-963-9043,1968-03-24,True
Johannes,Nordqvist,Ekvägen 674,Uppsala,51191,Sverige,SE,19600226-1259,+46,0512-70 71 27,1960-02-26,True
Tage,Bergström,Björkstigen 5,Stockholm,49033,Sverige,SE,19460222-4523,+46,+46 (0)83 77 49 29,1946-02-22,True
Edward,Andersson,Nyvägen 50,Halmstad,14400,Sverige,SE,19960612-4044,+46,08-859 139 85,1996-06-12,True
Carina,Li,Parkstigen 816,Uppsala,47743,Sverige,SE,19690721-0414,+46,08-593 486 41,1969-07-21,True
Hanna,Ali,Tveitgrenda 3B,Haugen,5261,Norge,NO,19900203-4613,+47,52324719,1990-02-03,True
Paul,Barber,Heather Ville 33597,New Jefferyfort,94965,Danmark,DK,19900514-6329,+45,+1-502-259-4245x4962,1990-05-14,True
Mikael,Olsson,Järnvägstorget 26,Lund,34393,Sverige,SE,19650202-8616,+46,+46 (0)86 47 21 82,1965-02-02,True
Inga-Lill,Pålsson,Nystigen 048,Luleå,89638,Sverige,SE,19561024-5890,+46,064-389 77 03,1956-10-24,True
Lars,Ahmed,Nygränd 781,Lidingö,51020,tverige,SE,19980319-9059,+46,08-204 998 49,1998-03-19,True
Frank,Karlsen,Knudsenmoen 85D,Hauge,3525,Norge,NO,19760316-9522,+47,47454480,1976-03-16,True
Anna,Henningsson,Parkgatan 75,Karlstad,76843,Sverige,SE,19710226-2074,+46,08-279 24 19,1971-02-26,True
Harald,Solheim,Kristensenmyra 9,Aune,2833,Norge,NO,19601022-2172,+47,88 76 75 44,1960-10-22,True
Robert,Strand,Kristoffersenhaugen 96,Eide,6894,Norge,NO,19460223-6857,+47,939 77 654,1946-02-23,True
Maria,Lindberg,Järnvägsgränd 334,Helsingborg,51639,Sverige,SE,19710527-8026,+46,+46 (0)8 218 181 54,1971-05-27,True
Jouko,Sipilä,Werner Wirénin kuja 066,Lumparland,50492,Finland,FI,19940422-074U,+358,009 976 3774,1994-04-22,True
Emanuel,Lindgren,Skogsgränd 660,Kalmar,68462,Sverige,SE,19750327-1416,+46,0717-94 04 26,1975-03-27,True
Anders,Karlsson,Villagatan 225,Helsingborg,44860,Sverige,SE,19780622-7889,+46,0948-28 85 51,1978-06-22,True
Wendy,Simpson,Renee Trafficway 96289,Maddenbury,19960,Danmark,DK,19470202-2572,+45,986.954.6224x48485,1947-02-02,True
Maria,Fransson,Parkvägen 060,Västerås,38011,Sverige,SE,19470811-1684,+46,+46 (0)8 551 114 13,1947-08-11,True
Monica,Johansson,Skolvägen 37,Uppsala,42430,Sverige,SE,19750119-0112,+46,08-555 671 61,1975-01-19,True
Carin,Carlsson,Nytorget 05,Kristianstad,74819,Sverige,SE,19681223-4949,+46,0625-401 93,1968-12-23,False
Madelene,Byström,Skolvägen 276,Sandviken,63302,Sverige,SE,19431108-1012,+46,018-584 15 98,1943-11-08,True
Kristine,Lie,Kristensenflata 150,Kjetilstrand,9384,Norge,NO,19630412-3175,+47,945 96 614,1963-04-12,True
Matheo,Magnusson,Fabriksgatan 2,Kalmar,68346,Sverige,SE,19910512-4871,+46,08-041 072 55,1991-05-12,True
Teodor,Johansson,Aspstigen 50,Stockholm,94396,Sverige,SE,19851027-8398,+46,+46 (0)844 840 33,1985-10-27,True
Sierra,Dunn,Clifford Viaduct 144,Johnport,89259,Danmark,DK,19440407-7919,+45,+1-499-980-2888,1944-04-07,True
Peter,Lindberg,Åkerstigen 779,Falun,93049,Sverige,SE,19710626-7479,+46,08-18 31 01,1971-06-26,True
Synnøve,Lie,Jacobsenhavna 80,Jørgensen,1181,Norge,NO,19881113-5877,+47,95743583,1988-11-13,True
Oona,Heino,Cygnaeuksenkatu 91,Kolari,72363,Finland,FI,19790420-3264,+358,+358 019000098,1979-04-20,True
Ricky,Jordan,Jones Flat 82420,Russellborough,26672,Danmark,DK,19961112-8837,+45,+1-458-289-9152x40309,1996-11-12,True
Jaakko,Martikainen,Harakkamyllynpolku 942,Teuva,28923,Finland,FI,19921122-7958,+358,+358280261321,1992-11-22,True
Therese,Pettersson,Parkgatan 9,Lund,40680,Sverige,SE,20000411-2290,+46,+46 (0)8 779 712 82,2000-04-11,True
Sanna,Sahlin,Parktorget 474,Karlstad,70018,Sverige,SE,19490219-9304,+46,08-763 751 54,1949-02-19,True
Jan,Hauge,Strandspranget 29C,Aasen,7502,Norge,NO,19531205-4049,+47,+47 90 55 56 80,1953-12-05,True
Elin,Lund,Aliengen 7,Gundersen,5001,Norge,NO,19500728-4284,+47,48121198,1950-07-28,True
Jørgen,Paulsen,Eriksenberget 28,Siljefjell,1016,Norge,NO,19890630-8756,+47,460 82 925,1989-06-30,True
Cecilia,Nylén,Storvägen 3,Örebro,37544,Sverige,SE,19810414-9036,+46,08-41 49 07,1981-04-14,True
Michael,Guerra,Kelly Club 61471,Lake Arianafurt,42604,Danmark,DK,19540830-5757,+45,001-721-970-3821x378,1954-08-30,True
Erik,Carlsson,Backgränd 844,Trelleborg,17303,Sverige,SE,19410520-3217,+46,0274-317 47,1941-05-20,True
Helena,Löfgren,Åkertorget 85,Stockholm,58781,Sverige,SE,19400505-7777,+46,08-222 88 23,1940-05-05,True
Robert,Johansson,Kvarntorget 16,Piteå,80740,Sverige,SE,19760714-4637,+46,+46 (0)8 034 215 95,1976-07-14,True
Frida,Lindblad,Genvägen 01,Örebro,67126,Sverige,SE,19781101-2558,+46,08-37 86 58,1978-11-01,True
Alex,George,Deborah Rue 87903,Lake Michael,88373,Danmark,DK,19820327-0255,45,905.774.1787,1982-03-27,True
Sigrid,Holm,Knudsenjordet 1A,Eide,4019,Norge,NO,19950324-3910,+47,92728428,1995-03-24,True
Charlotta,Gustafsson,Parkvägen 4,Halmstad,77298,Sverige,SE,19870303-1446,+46,0819-299 46,1987-03-03,True
Maria,Lindberg,Idrottsvägen 675,Helsingborg,97479,Sverige,SE,19800814-1086,+46,08-014 089 19,1980-08-14,True
Diana,Ekelund,Kyrkgränd 71,Mölndal,34722,Sverige,SE,19951016-5221,+46,+46 (0)8 619 726 21,1995-10-16,True
Karin,Gunnarsson,Järnvägstorget 669,Karlstad,12604,Sverige,SE,19770803-7817,+46,082-661 40 91,1977-08-03,True
